股票名稱,總體趨勢分析,支撐位與阻力位,結合技術指標,技術型態,投資決策建議,,,,,,,
生泰,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升通道,主要支撐位在99.1 TWD和89.1 TWD，主要阻力位在104.5 TWD和103.9 TWD，突破點在102.5 TWD附近，轉折點在101.7 TWD附近,MACD顯示動能減弱，RSI在中性區域，布林帶顯示價格在中軌附近，量價關係顯示成交量在高點時增加,出現頭肩型態，雙底型態不明顯，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意短期波動風險和長期上升機會,,,,,,,
生達,長期趨勢顯示價格在2024年中期達到高峰後呈現下降趨勢，短期趨勢在2025年初穩定在較低的價格區間,主要支撐位在60.0附近，主要阻力位在70.0附近，突破點在2024年中期的高峰和2024年末的低谷,MACD顯示在2024年中期有明顯的背離，RSI在高峰時超買，布林帶在高峰時擴張，量價關係顯示在高峰時成交量大幅增加,圖中出現了頭肩頂型態，並在2024年中期形成，顯示趨勢反轉的可能性,建議在價格接近支撐位時買入，在接近阻力位時賣出，應注意價格在支撐位和阻力位的變動，並觀察技術指標的變化,,,,,,,
盛弘,長期趨勢呈現下降趨勢，短期趨勢波動較大但無明顯上升或下降趨勢,主要支撐位在28.60，阻力位在29.99，突破點在29.58附近,MACD顯示動能減弱，RSI在中性區域，布林帶顯示波動性增加，量價關係顯示成交量較低,未出現明顯的頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議觀察29.58的突破情況，若突破可考慮買入，若未突破則保持觀望，注意市場波動風險,,,,,,,
神基,長期趨勢呈現震盪整理，短期趨勢有上升和下降的波動,主要支撐位在113.0，主要阻力位在115.0和118.3，突破點在2024年3月和2025年1月,MACD顯示出多次交叉，RSI在高點和低點波動，布林帶顯示價格在中軌上下波動，量價關係顯示出高點時成交量增加,出現了頭肩型態和雙底型態，可能有趨勢反轉的跡象,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動和技術指標的變化,,,,,,,
福壽,長期趨勢為下降趨勢，短期趨勢為震盪整理,主要支撐位在14.50，主要阻力位在17.00，未找到明顯突破點或轉折點,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶顯示波動加劇，量價關係顯示賣壓較重,未出現頭肩型態或雙底，無明顯趨勢反轉跡象,建議觀望，注意市場波動風險,,,,,,,
精誠,長期趨勢呈現上升趨勢，短期趨勢呈現波動，近期有下降趨勢的跡象,主要支撐位在115.0和107.0，主要阻力位在135.3和133.0，突破點在125.0，轉折點在圖中標示的多出和多進位置,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示價格波動範圍縮小，量價關係顯示近期成交量增加但價格下降,圖中出現多個頭肩型態和雙底型態，近期可能發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意近期的價格波動和成交量變化，可能存在短期風險,,,,,,,
統一,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升趨勢中,主要支撐位在75.6和77.6，阻力位在81.9和82.4，突破點在81.9附近，轉折點在82.4附近,MACD顯示多頭趨勢，RSI在中性區域，布林帶顯示價格在中軌附近，量價關係顯示成交量在高點時增加,未出現明顯的頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意短期波動風險,,,,,,,
美吾華,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在22.46和21.50，主要阻力位在23.80和26.00，突破點在23.00附近，轉折點在22.75附近,MACD顯示空頭趨勢，RSI在中性區域，布林帶顯示波動性增加，量價關係顯示成交量在高點時增加,出現頭肩型態，可能有趨勢反轉跡象,建議在突破23.00時買入，在接近26.00時賣出，注意市場波動風險,,,,,,,
耕興,長期趨勢呈現下降趨勢，短期趨勢有些波動但整體仍是下降趨勢,主要支撐位在190.0，主要阻力位在219.8，突破點在2024年4月，轉折點在2024年5月,MACD顯示出多次交叉，RSI在2024年4月達到高點後逐漸下降，布林帶顯示出價格波動範圍逐漸收窄，量價關係顯示出交易量在高點時增加,出現了頭肩型態，雙底型態不明顯，可能會有趨勢反轉的跡象,建議在突破點後賣出，在支撐位附近買入，應注意價格波動和交易量變化可能帶來的風險和機會,,,,,,,
聚鼎,長期趨勢呈下降趨勢，短期趨勢也呈下降趨勢,主要支撐位在49.50，主要阻力位在66.2，突破點在53.1附近,MACD顯示空頭趨勢，RSI在低位徘徊，布林帶收窄，量價關係顯示成交量減少,出現了頭肩型態，可能會有趨勢反轉,建議觀察53.1的突破情況，若突破可考慮買入，否則保持觀望，注意市場波動風險,,,,,,,
聯強,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在68.9 TWD，主要阻力位在74.3 TWD，突破點在74.3 TWD，轉折點在68.9 TWD,MACD顯示近期有黃金交叉跡象，RSI目前在中性區域，布林帶顯示股價在中軌附近震盪，量價關係顯示成交量在價格上升時增加，顯示買盤強勁,出現頭肩型態，推測即將發生趨勢反轉,建議在突破74.3 TWD時買入，若價格跌破68.9 TWD時則建議賣出，注意股價可能繼續下跌的風險，並留意突破阻力位後的上升空間,,,,,,,
聯華,長期趨勢為下降趨勢，短期趨勢為震盪整理,主要支撐位在48.0，主要阻力位在54.9，突破點在51.7附近,MACD顯示動能減弱，RSI在中性區間，布林帶收窄，量價關係顯示成交量減少,出現頭肩型態，可能有趨勢反轉的跡象,建議觀察51.7的突破情況，若突破可考慮買入，若未突破則需謹慎，注意市場波動風險,,,,,,,
聯華食,長期趨勢呈現上升趨勢，短期趨勢有回調跡象,主要支撐位在128.0，主要阻力位在146.4，突破點在134.2附近,MACD顯示動能減弱，RSI接近超賣區，布林帶顯示價格波動加大，量價關係顯示成交量增加,出現頭肩型態，可能有趨勢反轉跡象,建議在支撐位附近買入，阻力位附近賣出，注意市場波動風險,,,,,,,
臺慶科,短期趨勢呈現下降趨勢，長期趨勢波動較大但無明顯方向,主要支撐位在108.0和107.0，阻力位在110.5和115.0，突破點在109.0附近,MACD顯示空頭趨勢，RSI接近超賣區，布林帶顯示波動加劇，量價關係顯示賣壓較大,未出現明顯的頭肩型態或雙底，無明顯趨勢反轉跡象,建議觀望，等待更明確的趨勢信號，注意短期內可能的波動風險,,,,,,,
興農,長期趨勢呈現波動上升趨勢，短期趨勢呈現下降趨勢,主要支撐位在42.10和41.00，主要阻力位在45.03和47.00，突破點在2024年3月和2025年1月,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示波動加劇，量價關係顯示近期成交量增加但價格下降,出現頭肩型態，雙底型態不明顯，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意近期波動加劇的風險和可能的反轉機會,,,,,,,
花仙子,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在54.0，主要阻力位在56.0，突破點在54.5附近,MACD顯示短期反彈，RSI在中性區域，布林帶顯示波動性增加，量價關係顯示成交量增加,未出現明顯的頭肩型態或雙底，無法推測即將發生趨勢反轉,建議在54.0附近買入，56.0附近賣出，注意短期波動性增加的風險,,,,,,,
茂生,長期趨勢呈現上升趨勢，短期趨勢也呈現上升趨勢，整體趨勢向上,主要支撐位在54.3和53.5，主要阻力位在57.6和63.0，突破點在57.6，轉折點在63.0,MACD顯示多頭趨勢，RSI在70附近，布林帶顯示價格在上軌附近，量價關係顯示成交量增加，價格上升,沒有明顯的頭肩型態或雙底，但有可能出現趨勢反轉,建議在突破57.6時買入，在接近63.0時賣出，注意價格在63.0附近的阻力和可能的回調風險,,,,,,,
茂順,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在114.2，阻力位在118.2，突破點在116.5附近,MACD顯示短期反彈，RSI在中性區域，布林帶顯示價格在中軌附近，量價關係顯示近期成交量增加,未出現明顯的頭肩型態或雙底，可能有短期反彈,建議短期內觀察反彈力度，若突破阻力位可考慮買入，注意長期下降趨勢的風險,,,,,,,
華固,長期趨勢呈現下降趨勢，短期趨勢有波動但整體仍呈現下降趨勢,主要支撐位在110.5和102.4，主要阻力位在115.4和114.8，突破點在2024年4月和2025年3月，轉折點在2024年6月和2025年1月,MACD顯示動能減弱，RSI在中性區間，布林帶顯示波動性增加，量價關係顯示成交量在高點時增加,出現頭肩型態，雙底型態不明顯，可能有趨勢反轉的跡象,建議在突破阻力位時買入，在接近支撐位時賣出，注意市場波動和技術指標的變化,,,,,,,
華立,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在100.5，主要阻力位在112.2，突破點在99.5附近，轉折點在104.3附近,MACD顯示空頭趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近，量價關係顯示成交量增加但價格下降,出現頭肩型態，無雙底或其他技術型態，可能即將發生趨勢反轉,建議賣出，注意價格可能反彈至阻力位112.2附近，風險在於價格可能繼續下跌至支撐位100.5以下,,,,,,,
裕融,長期趨勢呈現下降趨勢，短期趨勢有波動但整體仍是下降趨勢,主要支撐位在約105.0，主要阻力位在約145.0，突破點在約120.0，轉折點在約135.0,MACD顯示空頭趨勢，RSI在中低區間，布林帶顯示波動性增加，量價關係顯示成交量在價格下跌時增加,未見明顯的頭肩型態或雙底型態，無法推測即將發生趨勢反轉,建議觀察是否能突破120.0的阻力位，若無法突破則建議賣出，潛在風險包括價格進一步下跌至105.0以下，機會在於突破120.0後可能的反彈,,,,,,,
資通,長期趨勢呈現下降趨勢，短期趨勢有波動但無明顯上升或下降趨勢,主要支撐位在49.62和45.26，主要阻力位在60.8和64.0，突破點在2024年8月，轉折點在2025年3月,MACD顯示2024年8月有明顯下降趨勢，RSI在2025年3月顯示超買，布林帶顯示2025年3月有波動加劇，量價關係顯示2024年8月有大量賣出,出現頭肩型態，2025年3月有雙底型態，可能即將發生趨勢反轉,建議在2025年3月買入，注意2024年8月的賣出風險，2025年3月的買入機會,,,,,,,
達欣工,長期趨勢呈現上升趨勢，短期趨勢在2025年初有回調跡象,主要支撐位在54.0，主要阻力位在60.1，突破點在2025年3月初，轉折點在2025年4月初,MACD顯示在2025年3月有黃金交叉，RSI在2025年4月初超賣，布林帶在2025年3月擴張，量價關係顯示在2025年3月有大量買入,出現頭肩型態，雙底型態不明顯，可能在2025年4月初發生趨勢反轉,建議在2025年3月初買入，在2025年4月初賣出，注意2025年4月初的回調風險,,,,,,,
達興,長期趨勢呈現上升趨勢，但短期趨勢有下降跡象,主要支撐位在150.9和135.3，主要阻力位在197.8和193.3，突破點在172.0附近,MACD顯示近期有死叉，RSI在中性區域，布林帶顯示價格在中軌附近，量價關係顯示近期成交量增加但價格下跌,未出現明顯的頭肩型態或雙底，可能有趨勢反轉跡象,建議觀察172.0附近的支撐位，若跌破可考慮賣出，若反彈可考慮買入，注意近期成交量變化及技術指標的變化,,,,,,,
邁達特,長期趨勢呈現波動性上升趨勢，短期趨勢顯示近期有下降趨勢的跡象,主要支撐位在48.75和49.89，主要阻力位在60.1和70.0，突破點在2025年1月和2025年3月,MACD顯示近期有下降趨勢，RSI顯示超賣狀態，布林帶顯示價格在下軌附近波動，量價關係顯示近期成交量增加但價格下降,出現了頭肩型態和雙底型態，可能推測即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意近期的價格波動和成交量變化可能帶來的風險和機會,,,,,,,
邦特,長期趨勢顯示該股票在2024年初至2025年初有上升趨勢，但在2025年初至今有下降趨勢,主要支撐位在119.5和121.2，主要阻力位在127.3和128.0，突破點在2024年8月和2025年3月,MACD顯示在2024年8月和2025年3月有明顯的黃金交叉，RSI在2024年8月達到高點，布林帶在2024年8月和2025年3月擴張，量價關係顯示在高點時成交量增加,出現了頭肩頂型態，2025年3月可能是趨勢反轉點,建議在支撐位附近買入，在阻力位附近賣出，注意2025年初的下降趨勢可能會持續,,,,,,,
鋼聯,長期趨勢顯示股價有上升趨勢，短期趨勢則有波動但整體仍在上升通道中,主要支撐位在100.0和98.0，主要阻力位在115.9和113.2，突破點在2024年4月和2024年10月,MACD顯示多頭趨勢，RSI在50-70之間波動，布林帶顯示股價在中軌和上軌之間波動，量價關係顯示成交量在股價上升時增加,出現了多次頭肩型態和雙底型態，可能預示趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意股價波動風險和成交量變化,,,,,,,
長榮航太,長期趨勢呈現下降趨勢，短期趨勢有反彈跡象,主要支撐位在98.0，主要阻力位在106.0，突破點在103.5附近,MACD顯示近期有上升動能，RSI在中性區域，布林帶顯示波動性增加,未出現明顯的頭肩型態或雙底，可能有反轉趨勢,建議在突破阻力位後買入，注意短期波動風險,,,,,,,
長榮鋼,長期趨勢呈現下降趨勢，短期趨勢有小幅反彈跡象,主要支撐位在79.3，主要阻力位在94.2，突破點在2024年5月，轉折點在2024年8月,MACD指標顯示2024年5月有明顯的上升趨勢，RSI指標在2024年5月達到高點後逐漸下降，布林帶顯示股價在2024年5月突破上軌後回落，量價關係顯示2024年5月成交量增加，股價上升,出現頭肩型態，2024年8月形成右肩，雙底型態在2025年3月出現，推測2025年4月可能發生趨勢反轉,建議在2025年4月觀察是否突破94.2阻力位，若突破可考慮買入，若未突破則應考慮賣出，注意潛在的市場波動和成交量變化,,,,,,,
開發金,長期趨勢呈現上升趨勢，短期趨勢有波動但整體仍在上升通道中,主要支撐位在17.50和16.50，主要阻力位在18.50和19.00，突破點在18.50附近,MACD顯示多頭趨勢，RSI在50-70之間，布林帶顯示價格在中上軌之間波動，量價關係顯示成交量隨價格上升而增加,未見明顯的頭肩型態或雙底型態，短期內無明顯趨勢反轉跡象,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動風險和成交量變化,,,,,,,
關貿,長期趨勢呈現上升趨勢，短期趨勢在高點後有回落跡象,主要支撐位在73.4和68.2，主要阻力位在95.0和91.2，突破點在2025年1月，轉折點在2025年3月,MACD顯示在高點後有回落，RSI在高點時超買，布林帶顯示價格在高點時突破上軌，量價關係顯示高點時成交量大幅增加,出現頭肩型態，右肩在2025年3月，推測可能有趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意高點後的回落風險和突破後的機會,,,,,,,
零壹,長期趨勢呈現上升趨勢，短期趨勢呈現下降趨勢,主要支撐位在120.0，主要阻力位在160.0，突破點在127.5，轉折點在170.0,MACD顯示近期有下跌趨勢，RSI顯示超賣狀態，布林帶顯示波動性增加，量價關係顯示近期成交量增加但價格下跌,出現頭肩型態，可能即將發生趨勢反轉,建議在支撐位附近買入，在阻力位附近賣出，注意市場波動性和成交量變化,,,,,,,
黑松,長期趨勢呈現下降趨勢，短期趨勢也呈現下降趨勢,主要支撐位在40.00，阻力位在42.50，突破點在40.20附近,MACD顯示出下降趨勢，RSI在中性區域，布林帶顯示價格在下軌附近，量價關係顯示出賣壓較大,沒有明顯的頭肩型態或雙底型態，趨勢反轉的可能性較低,建議觀察是否能突破40.00支撐位，若突破則考慮賣出，潛在風險是價格可能繼續下跌，機會是若價格反彈可考慮短期買入,,,,,,,
